go,name,n,avg_len,avg_dis,z,p
GO:0000014,single-stranded DNA endodeoxyribonuclease activity,39,676.025641025641,0.7948717948717948,1.1558542639042382,0.919
GO:0000026,"alpha-1,2-mannosyltransferase activity",35,469.8,0.3714285714285713,-3.060546914335041,0.003000000000000003
GO:0000030,mannosyltransferase activity,144,536.2638888888888,0.3402777777777778,-8.262304109330248,0.0
GO:0000036,acyl carrier activity,21,514.1904761904761,0.4761904761904762,0.3184573692386771,0.7240000000000001
GO:0000049,tRNA binding,247,566.3481781376519,0.5748987854251012,-2.388208556000233,0.014000000000000012
GO:0000062,fatty-acyl-CoA binding,59,405.01694915254234,0.4745762711864407,-1.0933876331027044,0.17100000000000004
GO:0000099,sulfur amino acid transmembrane transporter activity,33,435.54545454545456,0.2727272727272727,-3.619664668200056,0.0
GO:0000104,succinate dehydrogenase activity,51,370.921568627451,0.4509803921568628,-1.5720719510191148,0.07499999999999996
GO:0000146,microfilament motor activity,75,1601.3733333333332,0.8266666666666667,-3.426717257883648,0.0040000000000000036
GO:0000149,SNARE binding,410,504.0365853658536,0.8170731707317073,9.828590022614597,1.0
GO:0000150,recombinase activity,50,368.0,0.4,-1.5885221246000956,0.07199999999999995
GO:0000155,phosphorelay sensor kinase activity,111,859.3153153153153,0.6036036036036037,-4.896522656261982,0.0
GO:0000156,phosphorelay response regulator activity,48,434.125,0.6666666666666666,1.340089588871507,0.932
GO:0000166,nucleotide binding,10750,705.296465116279,0.606046511627907,-19.312343464690255,0.0
GO:0000175,3'-5'-exoribonuclease activity,101,633.3960396039604,0.6732673267326733,0.2500395819804905,0.64
GO:0000182,rDNA binding,44,814.5227272727273,0.8636363636363636,2.955835839313945,1.0
GO:0000217,DNA secondary structure binding,114,620.5964912280701,0.7719298245614035,2.941464394647652,0.999
GO:0000268,peroxisome targeting sequence binding,23,447.9130434782609,0.7826086956521741,1.8591456015652987,0.983
GO:0000287,magnesium ion binding,1077,522.1485608170843,0.3806870937790158,-16.547936073890774,0.0
GO:0000293,ferric-chelate reductase activity,25,602.36,0.48,-2.6998613352265566,0.010000000000000007
GO:0000295,adenine nucleotide transmembrane transporter activity,53,381.9245283018868,0.2830188679245283,-3.5826460031893164,0.0
GO:0000339,RNA cap binding,58,452.17241379310343,0.5517241379310345,-0.2812119503696637,0.442
GO:0000340,RNA 7-methylguanosine cap binding,33,479.8484848484849,0.42424242424242425,-2.0510510277438376,0.030000000000000027
GO:0000400,four-way junction DNA binding,77,519.0,0.7012987012987013,2.034570573594472,0.984
GO:0000403,Y-form DNA binding,30,913.8666666666667,0.8666666666666667,0.8261549806233885,0.86
GO:0000405,bubble DNA binding,21,740.952380952381,0.9047619047619048,2.552634922356244,1.0
GO:0000702,oxidized base lesion DNA N-glycosylase activity,33,305.8181818181818,0.5151515151515151,0.21107959691163547,0.638
GO:0000774,adenyl-nucleotide exchange factor activity,32,451.28125,0.875,3.789463494897014,1.0
GO:0000822,inositol hexakisphosphate binding,27,923.5185185185184,0.8148148148148148,0.7184153260550502,0.835
GO:0000900,"translation repressor activity, nucleic acid binding",44,531.2727272727273,0.7954545454545454,2.392190654830636,0.998
